row_index,image_uid,file_name,relative_path,file_hash,model
22,eea67b611f824e82bdc8e52f498a10f1,Port Lockroy 24th April 2020 JNH (19) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (19) (Large).jpg,9d6ac2d41699b2ca7f718ca4e0629c76b384b43e8260d695f31cf4aa81e8b9cc,openai/clip-vit-base-patch32
23,62b88133cd2647e59213f3238f35b76e,Port Lockroy 24th April 2020 JNH (2) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (2) (Large).jpg,ef589760b94d81264759c6ea9646a5c9d86333333899bdf7cc83dca172ba954d,openai/clip-vit-base-patch32
24,24109e2aa1294d86bdcfbd71e463b00d,Port Lockroy 24th April 2020 JNH (20) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (20) (Large).jpg,a1359c788a590b74798b5f184faa0fe1afd2f3fe651dd7c1495068d1910b74ec,openai/clip-vit-base-patch32
25,c75b3142e8c7402ca175ae51766d9219,Port Lockroy 24th April 2020 JNH (21) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (21) (Large).jpg,d5fe348be2ce1593338e54797d42febb240fe3652c40f0fcb008b08e2c6823bb,openai/clip-vit-base-patch32
26,b506c7d0d59043399268f93ff1b06ba5,Port Lockroy 24th April 2020 JNH (22) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (22) (Large).jpg,4089e2647bdfc8d1fdc4358ca6d76393239585a33a1bf5d595194a63724fb896,openai/clip-vit-base-patch32
27,9dc363e511da4f7bbf43c20b53e77811,Port Lockroy 24th April 2020 JNH (23) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (23) (Large).jpg,ec174f07274ac3a888dd40b024a8859b7b458c0b05b4c2ee15c1150944f40e1f,openai/clip-vit-base-patch32
28,bf47e0b0fb6c4e3588ea61dc1e8803b8,Port Lockroy 24th April 2020 JNH (24) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (24) (Large).jpg,de00c22cc51bbd519cfb415d036d47365519449eae8cc2aebd9bb20f20914663,openai/clip-vit-base-patch32
29,205d65e906924e6fa9c4e7fc283c6cb5,Port Lockroy 24th April 2020 JNH (25) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (25) (Large).jpg,4f42b1a7549a98b0b614c43815c551077b2b8e0c0b274442b088636754ae5a27,openai/clip-vit-base-patch32
30,322fedeada3f4776a6371852946cbd55,Port Lockroy 24th April 2020 JNH (26) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (26) (Large).jpg,5cdcc8a0ec3faa258c14583d470e88ec86f9235fe7c3d15531ad4a82ca2679b3,openai/clip-vit-base-patch32
31,b757e68e5cbc499594a29f2011cb3a0b,Port Lockroy 24th April 2020 JNH (27) (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (27) (Large).jpg,ac55fdfc5b6ca7557a39d79b29700dc1548b51d0393d2d1fd00873a1718b311b,openai/clip-vit-base-patch32
