facet,kind,support,threshold,precision,recall,f1,uniform_precision,uniform_recall,uniform_f1,vocabulary_version
scene_type,argmax,27,,0.8519,0.8519,0.8519,0.8519,0.8519,0.8519,1.0
shot_type,argmax,27,,0.5926,0.5926,0.5926,0.5926,0.5926,0.5926,1.0
people,threshold,27,0.232,0.963,0.963,0.963,0.963,0.963,0.963,1.0
room,threshold,5,0.226,0.8,0.8,0.8,0.8,0.8,0.8,1.0
structure,threshold,6,0.266,0.4286,0.5,0.4615,0.2353,0.6667,0.3478,1.0
orientation,threshold,1,0.196,0.1111,1.0,0.2,0.0,0.0,0.0,1.0
activity,threshold,3,0.26,1.0,0.6667,0.8,0.25,0.6667,0.3636,1.0
nature,threshold,50,0.212,0.4079,0.62,0.4921,0.48,0.24,0.32,1.0
condition,threshold,27,0.232,0.5714,0.4444,0.5,0.6923,0.3333,0.45,1.0
