facet,kind,support,threshold,precision,recall,f1,uniform_precision,uniform_recall,uniform_f1,vocabulary_version
scene_type,argmax,107,,0.7944,0.7944,0.7944,0.7944,0.7944,0.7944,1.1
shot_type,argmax,107,,0.6262,0.6262,0.6262,0.6262,0.6262,0.6262,1.1
people,threshold,107,0.248,0.8785,0.8785,0.8785,0.8411,0.8411,0.8411,1.1
room,threshold,27,0.226,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,1.1
structure,threshold,34,0.266,0.5385,0.4118,0.4667,0.3026,0.6765,0.4182,1.1
orientation,threshold,11,0.174,0.1774,1.0,0.3014,0.0909,0.0909,0.0909,1.1
activity,threshold,17,0.26,0.6364,0.4118,0.5,0.3448,0.5882,0.4348,1.1
nature,threshold,190,0.212,0.397,0.6895,0.5038,0.4048,0.1789,0.2482,1.1
condition,threshold,128,0.226,0.4957,0.4453,0.4691,0.6053,0.3594,0.451,1.1
